ชื่อ,เลขที่ผู้เสียภาษี,
บริษัท เอสเมดิคอลเอ็นเตอร์ไพรส์ จำกัด,105539077295,
ห้างหุ้นส่วนจำกัด อีแซดพี,113523000717,
บริษัท ภูนิคมวิศวกรรม จำกัด,113554000450,
ขายรายวัน,,
บริษัท เอส.แอล.เมทัล โปรดักส์ จำกัด,115546006551,
บริษัท ประเสร็ฐอัลไลด์ จำกัด,115555002652,
บริษัท จินป่าวพรีซิชั่นอินดัสทรี่ จำกัด,115541000199,
บริษัท ไทยคาเมดะ จำกัด,105533006922,
ห้างหุ้นส่วนจำกัด สหพรทูล,113533002186,
ห้างหุ้นส่วนจำกัด วีระรุ่งเรืองการช่าง,113543001506,
บริษัท ฟูดส์แลนด์เซ็นเตอร์เซอร์วิส จำกัด,305549001656,
บริษัท อินเตอร์เฮลท์โปรดักส์ จำกัด,105534026960,
บริษัท พารากอนสตีลซัพพลายส์ จำกัด,115543004230,
บริษัท พีแอนด์พีสตีล (ไทยแลนด์) จำกัด,115548008535,
บริษัท ยูนิพรีม่า จำกัด,105547144354,
บริษัท วิมลเฉลา จำกัด,115547013781,
ห้างหุ้นส่วนจำกัด ศุภกรวาณิชย์,103537039611,
บริษัท กลอนไทยพัฒนา จำกัด,115546010249,
ห้างหุ้นส่วนจำกัด อินคัมโปรดัคท์,113553009275,
บริษัท วันเดอร์อินเตอร์มาร์เก็ตติ้ง จำกัด,115537002204,
บริษัท ธนบุรีประกอบรถยนต์ จำกัด,105503000250,
ห้างหุ้นส่วนจำกัด ปรากร,103515015832,
บริษัท 24ดิสทรีบูชั่นแอนด์เซอร์วิส จำกัด,115547004340,
บริษัท โรงชุบสังกะสีนำเจริญ จำกัด,115559008639,
บริษัท แอสเซอแรมเอซี จำกัด,115559015651,
บริษัท ยูเวิร์ค999 จำกัด,105555145496,
บริษัท อกรินโนเวท จำกัด,115534001649,
บริษัท ยนต์วิวัฒน์ผ้าเบรค จำกัด,115560007969,
บริษัท อินสบายด์บายไอซ์ จำกัด,115560020604,
บริษัท ภูนิคมวิศวกรรม จำกัด,125554018415,
บริษัท ปิ่นทองโฮลดิ้ง จำกัด,105530067980,
บริษัท ชัยถาวรเทรดดิ้ง จำกัด,115560024383,
บริษัท บี.บี.เค.อินดัสตรี จำกัด,115536003673,
บริษัท ราโต้เพลตติ้ง จำกัด,105558009950,
บริษัท เรืองฤทัย จำกัด,105543041542,
ห้างหุ้นส่วนจำกัด ประพันธ์เมทั่ลเวิร์ค,113554000450,
บริษัท เฉิงกังอิเลคทริคัลเอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,115548010211,
บริษัท ดีเอ็นมาร์ท จำกัด,305558001272,
ห้างหุ้นส่วนจำกัด เงินไทย,113541002637,
บริษัท เอสพีโลหะกิจ จำกัด,115560029831,
บริษัท รุ่งเจริญเพลทติ้ง จำกัด,115562002948,
บริษัท อาร์โนลด์เมอร์ชั่นไดซ์ (ประเทศไทย) จำกัด,115551003913,
ร้านเทพารักษ์ซักแห้ง,3101700266661,
บริษัท อาร์โนลด์เมอร์ชั่นไดซ์ จำกัด,115551003913,
บริษัท สยามแก๊สแอนด์ปิโตรเคมมีคัลส์ จำกัด,107548000650,
บริษัท ชัยพรรณปิโตรเลียม จำกัด,115536005129,
บริษัท ดับบลิวพีเอ็นเนอร์ยี่ จำกัด,107557000403,
ซื้อ,,
ขาย,,
บริษัท ฟาร์มมีสุข จำกัด,115564010697,
ห้างหุ้นส่วนจำกัด พูนทรัพย์เอ็นจิเนียริ่ง,113532001691,
ยกเลิก,,
บริษัท เอบีซีมีทฟู้ดส์ จำกัด,115563013404,
บริษัท ทีทีมารูโนะอุจิ (ประเทศไทย) จำกัด,105553074541,
บริษัท สมบูรณ์แอนด์ เอส.พี.รับเบอร์ จำกัด,115534004761,
บริษัท ยูนิพรีมา จำกัด,105547144354,
ห้างหุ้นส่วนจำกัด ศุภกรณ์วาณิชย์,103537039611,
บริษัท ธนบุรีประกอบรถยนต์ จำกัด,105503000250,
บริษัท เคพีซีโฮลดิ้ง จำกัด,115560018570,
บริษัท บี.บี.เค.อินดัสตรี จำกัด,115536003673,
บริษัท หลง จิ่ว โหลว จำกัด,115563021351,
ใช้เดือน7,,
ห้างหุ้นส่วนจำกัด ไต่กิก,133555000291,
บิลออกแทน 378/18891,,
บริษัท เทอร์ไบรน์เซิร์ฟ จำกัด,0115557003543,
ใช้เดือน11,,
บริษัท แอททิคอน เอ็นจิเนียริ่ง จำกัด,115560027251,
บริษัท ธากาเท็กซ์ (ไทย) จำกัด,115565006723,
ใช้เดือน5/66,,
บริษัท เมกะเทค (ไทย) จำกัด,115555012224,
บริษัท ลิฟวิ่ง แอนด์ ฟาซิลิตี้ จำกัด,,205546014081
ห้างหุ้นส่วนจำกัด มหาเศรษฐี โคโค่วอร์ค,143565000367,
บริษัท เทคฟอร์ม จำกัด,115534003781,
บริษัท ประเสร็ฐโภชนา 2562 จำกัด,,
บริษัท เอสซีแมนเนจเม้นท์ จำกัด,,
บริษัท โกลเด้นโกลคอนสตรัคชั่น จำกัด,,
บริษัท อุตสาหกรรมหลอดอลูมิเนียม จำกัด,,
บริษัท อิมพีเรียลพลาซ่า จำกัด,,
ใช้เดือน 12/66,,
บริษัท เอลซี แมนเนจเม้นท์ จำกัด,,
บริษัท พอร์ท แอนด์ มารีน คอร์ปอเรชั่น (พี.เอ.เอ็ม.) จำกัด,,
บริษัท พีพี ซีเอ็น เอ็นจิเนียริ่ง จำกัด,,
บริษัท เวสคอน ทักโบ๊ท แอนด์ มารีน เซอร์วิส จำกัด,105529028046,
บริษัท ศิริ ลีฟวิ่ง จำกัด,105557095003,
บริษัท เอ็น พี มารีน จำกัด,105538074012,
บริษัท ทรัพย์พัฒนา ปิโตรเลียม จำกัด,,
ใช้เดือน12/67,,
บริษัท ไฮเทคฟู๊ดอีควิปเม้นท์ จำกัด,,
สมาคมกีฬาฟิกเกอร์และสปีดสเก็ตติ้งแห่งประเทศไทย,,
ห้างหุ้นส่วนจำกัด ทีเอสเค เพลทติ้ง,,
บริษัท อินฟินิตี้ บอริ่ง แอนด์ คอนสตรัคชั่น จำกัด,105559127468,
บริษัท เซคั่นฟูดส์ จำกัด,,